fold,phase,lag,source,target,horizon,contrast_fraction,steps_factor,effect_mean,effect_sd,gap_mean,valid_fraction
0,baseline,1,ADE,ALA,1,1.0,2,0.07595867787798243,0.16133793370088007,0.5426829755306244,1.0
0,baseline,1,ADE,ALA,2,1.0,1,0.06674910336732863,0.17199730324119017,0.5481003721555074,1.0
0,baseline,1,ADE,ALA,2,1.0,2,0.08104976639151573,0.15446107000588558,0.5426829755306244,1.0
0,baseline,1,ADE,ALA,4,1.0,1,0.07372995714346565,0.16379114483017354,0.5481003721555074,1.0
0,baseline,1,ADE,ALA,4,1.0,2,0.08893162136276563,0.1433507857785767,0.5426829755306244,1.0
0,baseline,1,ADE,ALA,8,1.0,1,0.07723574091990786,0.14661718261172874,0.5481003721555074,1.0
0,baseline,1,ADE,ALA,8,1.0,2,0.09117411511639752,0.12241115447613178,0.5426829755306244,1.0
0,baseline,1,ADE,ALA,16,1.0,1,0.04864211877187089,0.11430277782935781,0.5481003721555074,1.0
0,baseline,1,ADE,ALA,16,1.0,2,0.0712403788541754,0.08036897022441762,0.5426829755306244,1.0
0,baseline,1,ADE,ALA,32,1.0,1,0.013570075233777366,0.06463061380081685,0.5481003721555074,1.0
0,baseline,1,ADE,ALA,32,1.0,2,0.0364855142931143,0.0258771684234766,0.5426829755306244,1.0
0,baseline,1,ADE,ASE,1,1.0,1,-0.04381200733284154,0.055663625059064664,0.5481003721555074,1.0
0,baseline,1,ADE,ASE,1,1.0,2,-0.0037535273780424996,0.05464901803249826,0.5426829755306244,1.0
0,baseline,1,ADE,ASE,2,1.0,1,-0.06021355791017413,0.05640470184161126,0.5481003721555074,1.0
0,baseline,1,ADE,ASE,2,1.0,2,-0.02316196200748284,0.058459106940134446,0.5426829755306244,1.0
0,baseline,1,ADE,ASE,4,1.0,1,-0.0791385434567928,0.0539296569701763,0.5481003721555074,1.0
0,baseline,1,ADE,ASE,4,1.0,2,-0.0428781329343716,0.06428282350879366,0.5426829755306244,1.0
0,baseline,1,ADE,ASE,8,1.0,1,-0.10113257293899851,0.05339329405476997,0.5481003721555074,1.0
0,baseline,1,ADE,ASE,8,1.0,2,-0.0703801697430511,0.08462260774578922,0.5426829755306244,1.0
0,baseline,1,ADE,ASE,16,1.0,1,-0.10771911591291428,0.060042443635812216,0.5481003721555074,1.0
0,baseline,1,ADE,ASE,16,1.0,2,-0.0785545967519283,0.10266885932236408,0.5426829755306244,1.0
0,baseline,1,ADE,ASE,32,1.0,1,-0.1309878180424372,0.010267068424419483,0.5481003721555074,1.0
0,baseline,1,ADE,ASE,32,1.0,2,-0.11953233182430263,0.0791290590510765,0.5426829755306244,1.0
0,baseline,1,ADE,ASG,1,1.0,1,0.02253626783688863,0.17839186010516342,0.5481003721555074,1.0
0,baseline,1,ADE,ASG,1,1.0,2,-0.04700979931900897,0.05039320996966817,0.5426829755306244,1.0
0,baseline,1,ADE,ASG,2,1.0,1,0.014290885378917028,0.1741716775836416,0.5481003721555074,1.0
0,baseline,1,ADE,ASG,2,1.0,2,-0.053039878296355335,0.04348604617958464,0.5426829755306244,1.0
0,baseline,1,ADE,ASG,4,1.0,1,0.007306554665168133,0.16302006768243496,0.5481003721555074,1.0
0,baseline,1,ADE,ASG,4,1.0,2,-0.05609121484061077,0.02802084373403871,0.5426829755306244,1.0
0,baseline,1,ADE,ASG,8,1.0,1,0.001462087656060873,0.14171462640135374,0.5481003721555074,1.0
0,baseline,1,ADE,ASG,8,1.0,2,-0.053622790922721174,0.007450470275115498,0.5426829755306244,1.0
0,baseline,1,ADE,ASG,16,1.0,1,0.018985528498888,0.12207104740284844,0.5481003721555074,1.0
0,baseline,1,ADE,ASG,16,1.0,2,-0.020140110282227366,0.022231819483493634,0.5426829755306244,1.0
0,baseline,1,ADE,ASG,32,1.0,1,0.06355834255615866,0.12494645040555248,0.5481003721555074,1.0
